 %1$S フォル	verboseFolderFormat, comp not found	%2$S の %1$S フォルダ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10488
 (マ	fk, comp not found	フォークランド (マルビナス) 諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4639
オフライン作業の間は、オフラインで使用できるようダウンロードしたメッセージ以外は移動やコピーできません。メールウィンドウの [ファイル] メニューを開き、[オフライン] を選択して [オンラインにする] のチェックを外してから再度試してください。	cantMoveMsgWOBodyOffline	self	While working offline, you cannot move or copy messages that were not downloaded for offline use. From the Mail window, open the File menu, choose Offline, then uncheck Work Offline, and then try again.	phrase, no reading now	no comment	差異 [さい] (n) difference/disparity/(P)/<br>差違 [さい] (n) difference/<br>債 [さい] (n,n-suf) debt/loan/(P)/<br>再 [さい] (pref) re-/again/repeated/(P)/<br>最 [さい] (pref,adj-na) (1) the most/the extreme/(adj-t,adv-to) (2) prime/conspicuous/<br>才 [さい] (suf) (1) -years-old/(2) ability/gift/talent/aptitude/genius/(P)/<br>歳 [さい] (suf) (1) -years-old/(P)/<br>采 [さい] (n) (1) (abbr) dice/die/(2) baton (of command)/<br>犀 [さい] (n) rhinoceros/<br>細 [さい] (n) detail/details/<br>菜 [さい] (n) side dish/<br>裁 [さい] (n-suf) judge/<br>載 [さい] (n) 10^44/<br>際 [さい] (n-adv,n) on the occasion of/circumstances/(P)/<br>賽 [さい] (n) (1) (abbr) dice/die/(2) baton (of command)/<br>釵 [さい] (n) (MA) sai (an Okinawan weapon)/<br>	firefox phrase	10451
オブジェクト	MediaTitleWithFile, comp found	%S (%S オブジェクト)	(n) object/	オブジェクト	no comment	オブジェクト [オブジェクト] (n) object/<br>	firefox word found	3463
オブジェクトはリーフです	35	self	Object is a leaf	phrase, no reading now	no comment	リーフ [リーフ] (n) (1) reef/(2) leaf/<br>	firefox phrase	17163
オブジェクトへの署名者	VerifyObjSign	self	Object Signer	phrase, no reading now	no comment	署名 [しょめい] (n,vs) signature/(P)/<br>	firefox phrase	17651
オブジェクトクラス	65, comp found	オブジェクトクラス違反です	(n) (comp) object class/	オブジェクトクラス	no comment	オブジェクトクラス [オブジェクトクラス] (n) (comp) object class/<br>	firefox word found	17217
オブジェクトクラスを変更できません	69	self	Cannot modify object class	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	17240
オブジェクトクラス違反です	65	self	Object class violation	phrase, no reading now	no comment	違反 [いはん] (n,vs) violation (of law)/transgression/infringement/breach/(P)/<br>	firefox phrase	17219
オブジェクト署名者	VerifyObjSign_p	self	Object Signer	phrase, no reading now	no comment	署名 [しょめい] (n,vs) signature/(P)/<br>	firefox phrase	17691
オプ	optionsTabLabel, comp not found	オプション	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	2887
オプション	optionsTabLabel	self	Options	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	2888
オマ	om, comp not found	オマーン	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4868
オマーン	om	self	Oman	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4869
オランダ	nl, comp found	オランダ語	(n,adj-no) (uk) Holland (por: Olanda)/The Netherlands/	オランダ	no comment	オランダ [オランダ] (n,adj-no) (uk) Holland (por: Olanda)/The Netherlands/<br>	firefox word found	3265
オランダ語	nl	self	Dutch	phrase, no reading now	no comment	オランダ [オランダ] (n,adj-no) (uk) Holland (por: Olanda)/The Netherlands/<br>	firefox phrase	3266
オランダ領アンティル	an	self	Netherlands Antilles	phrase, no reading now	no comment	ティ [ティ] (n) tea/(P)/<br>	firefox phrase	4493
オリヤー語	or	self	Oriya	phrase, no reading now	no comment	リヤ [リヤ] (n,pref,adj-na) rear/<br>	firefox phrase	3290
オロモ語	om	self	Oromo	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3288
オン	browsewithcaret.checkLabel, comp found	F7 キーを押すとキャレットブラウズモードのオンとオフが切り替わります。このモードをオンにすると Web ページ中を移動可能なカーソル(キャレット)が表示され、キーボードでテキストを選択できるようになります。キャレットブラウズモードをオンにしますか？	(n,vs) on/(P)/	オン	no comment	オン [オン] (n,vs) on/(P)/<br>	firefox word found	1185
オンライン	Offline, comp found	現在オフラインです。ウィンドウの右下隅のアイコンをクリックするとオンラインに切り替わります。	(n) (comp) on-line/(P)/	オンライン	no comment	オンライン [オンライン] (n) (comp) on-line/(P)/<br>	firefox word found	302
オンラインにする	title	self	Work Online	phrase, no reading now	no comment	オンライン [オンライン] (n) (comp) on-line/(P)/<br>	firefox phrase	13054
オンラインに切り替えるときは毎回確認する	sendMessagesCheckboxLabel1	self	Always ask me when I go online	phrase, no reading now	no comment	確認 [かくにん] (n,vs) affirmation/confirmation/validation/(P)/<br>	firefox phrase	13015
オンラインを維持する	dontGoOfflineButton	self	Stay Online	phrase, no reading now	no comment	維持 [いじ] (n,vs) maintenance/preservation/improvement/(P)/<br>	firefox phrase	15222
オーストラリア	au	self	Australia	phrase, no reading now	no comment	スト [スト] (n) (abbr) strike/(P)/<br>	firefox phrase	4508
オーストリア	at	self	Austria	phrase, no reading now	no comment	スト [スト] (n) (abbr) strike/(P)/<br>	firefox phrase	4506
オーディオ	SaveAudioTitle, comp found	オーディオを保存	(n) audio/(P)/	オーディオ	no comment	オーディオ [オーディオ] (n) audio/(P)/<br>	firefox word found	1515
オーディオを保存	SaveAudioTitle	self	Save Audio	phrase, no reading now	no comment	オーディオ [オーディオ] (n) audio/(P)/<br>	firefox phrase	1517
オーバーレイ	MissingOverlay, comp found	オーバーレイ %1$S を正しく読み込めませんでした。	(n,vs) (1) overlay/(2) (comp) overlay (segment)/	オーバーレイ	no comment	オーバーレイ [オーバーレイ] (n,vs) (1) overlay/(2) (comp) overlay (segment)/<br>	firefox word found	5973
オーバーレイ %1$S を正しく読み込めませんでした。	MissingOverlay	self	Failed to load overlay from %1$S.	phrase, no reading now	no comment	弟子 [でし] (n,adj-no) pupil/disciple/adherent/follower/apprentice/young person/teacher's student-helper/(P)/<br>	firefox phrase	5980
オープンソースソフトウェア	notifyRightsText, comp found	%S は非営利団体 Mozilla Foundation が公開している無料のオープンソースソフトウェアです。	(n) (comp) open source software/	オープンソースソフトウェア	no comment	オープンソースソフトウェア [オープンソースソフトウェア] (n) (comp) open source software/<br>	firefox word found	6135
オーラ	ax, comp found	オーランド諸島	(n) aura/(P)/	オーラ	no comment	オーラ [オーラ] (n) aura/(P)/<br>	firefox word found	4511
オーランド諸島	ax	self	\u00c5land Islands	phrase, no reading now	no comment	諸 [しょ] (pref) various/many/several/(P)/<br>	firefox phrase	4513
カイ	gloda.mimetype.category.archives.label, comp found	アーカイブ	choose manually from edict	choose manually from edict	no comment	Χ [カイ] (n) chi/<br>χ [カイ] (n) chi/<br>	firefox word found	8453
カイコ	tc, comp found	タークス諸島 カイコス諸島	(n) (uk) silkworm (Bombyx Mori)/	カイコ	no comment	カイコ [カイコ] (n) (uk) silkworm (Bombyx Mori)/<br>	firefox word found	4965
カウ	gloda.message.attr.account.facetNameLabel, comp found	アカウント	(n) (comp) (abbr) automatically responding with an upload slot to someone who allows you to download (e.g. in P2P systems)/	カウ	no comment	カウ [カウ] (n) (comp) (abbr) automatically responding with an upload slot to someone who allows you to download (e.g. in P2P systems)/<br>	firefox word found	8376
カザフスタン	kz	self	Kazakhstan	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4770
カザフ語	kk	self	Kazakh	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3188
カシミール	ks, comp found	カシミール語	(n) Kashmir/	カシミール	no comment	カシミール [カシミール] (n) Kashmir/<br>	firefox word found	3200
カシミール語	ks	self	Kashmiri	phrase, no reading now	no comment	カシミール [カシミール] (n) Kashmir/<br>	firefox phrase	3201
カスタム	customHeaderOverflow, comp found	カスタムヘッダの数が 50 を超えています。カスタムヘッダを一部削除してからやり直してください。	(n,adj-no) custom/	カスタム	no comment	カスタム [カスタム] (n,adj-no) custom/<br>	firefox word found	8137
カスタムアクションはありません	filterMissingCustomAction	self	Missing Custom Action	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	8301
カスタムヘッダ...	Customize	self	Customize…	phrase, no reading now	no comment	ヘッダ [ヘッダ] (n) header/<br>	firefox phrase	13807
カスタムヘッダには ':'、印刷不可能な文字、非 ASCII 文字、8 ビット ASCII 文字などは使用できません。フィルタ定義ファイル msgFilterRules.dat を修正して、カスタムヘッダから無効な文字を削除してください。	invalidCustomHeader	self	One of your filters uses a custom header that contains an invalid character, such as ':', a non-printable character, a non-ascii character, or an eight-bit ascii character. Please edit the msgFilterRules.dat file, which contains your filters, to remove invalid characters from your custom headers.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	8200
カスタムヘッダの数が 50 を超えています。カスタムヘッダを一部削除してからやり直してください。	customHeaderOverflow	self	You've exceeded the limit of 50 custom headers. Please remove one or more custom headers and try again.	phrase, no reading now	no comment	差異 [さい] (n) difference/disparity/(P)/<br>差違 [さい] (n) difference/<br>債 [さい] (n,n-suf) debt/loan/(P)/<br>再 [さい] (pref) re-/again/repeated/(P)/<br>最 [さい] (pref,adj-na) (1) the most/the extreme/(adj-t,adv-to) (2) prime/conspicuous/<br>才 [さい] (suf) (1) -years-old/(2) ability/gift/talent/aptitude/genius/(P)/<br>歳 [さい] (suf) (1) -years-old/(P)/<br>采 [さい] (n) (1) (abbr) dice/die/(2) baton (of command)/<br>犀 [さい] (n) rhinoceros/<br>細 [さい] (n) detail/details/<br>菜 [さい] (n) side dish/<br>裁 [さい] (n-suf) judge/<br>載 [さい] (n) 10^44/<br>際 [さい] (n-adv,n) on the occasion of/circumstances/(P)/<br>賽 [さい] (n) (1) (abbr) dice/die/(2) baton (of command)/<br>釵 [さい] (n) (MA) sai (an Okinawan weapon)/<br>	firefox phrase	8152
